reviewerID,asin,reviewerName,helpful,reviewText,Rating,summary,reviewTime,review_length
A6MKVHZT6V9XX,B007K3TIBW,Caroline Hines,"[0, 0]",pink dark pink instead light pink big deal didnt get paid,3,Ehhh,"04 23, 2014",11.0
A3TWYLPP5FCYMZ,B004TSEC1W,Pen Name,"[0, 0]",really like cover simple yet plausible cover really liked design specific one colors feel nice,5,Great,"10 16, 2012",15.0
AEC0SOUP0EHFD,B000SMXLYC,Samantha Clark,"[4, 4]",chose rating product never came dislike help getting product recommend one else buy person receive item hard rate quality something exist,1,No GO,"09 19, 2013",21.0
AS8WACO82JMGZ,B007FMYNWW,REMY.2012,"[0, 0]",want thank youwhen comes keeping good rating league spend time effort flyer letter well say thanks customer life ever seen type devotion care needed tell keep thinking outstanding feeling bought cover case phone bet sellers way behind thank,5,A LETTER.,"02 11, 2014",38.0
A1SW4S95RKP78B,B00687N0GK,Tisha,"[0, 0]",market dashboard car mount dont care windshield far good little guy instillation simple far holding ive week even record temps 90 degrees week car sits outside baking im work black interior gets pretty hot one reviewer mentioned thought heat messed sticky disk overall im satisfied job although part device actually sits doesnt seem sturdy fact moves turns rotates far easily im driving though stay place deducted one staralso purchase monday afternoon revived wednesdays mail 3 days promised delivery date,4,Pretty Good,"07 18, 2012",79.0
A4ZKY17VUBPZH,B00BW0XZO0,Darwindan,"[0, 0]",great item genuine samsung quality refreshing know many batteries advertised amazon samsung indeed fakes buyer beware comes mind charger battery genuine one best advantages samsung phones apple phones replaceable battery seems foolish emergency spare,5,Genuine quality charger and battery,"12 3, 2013",34.0
A78ER07CE205J,B0043GUKT8,"Elijah Fulton ""elijahblake""","[11, 14]",bought one asking sales rep would let dock phone case said yes took home tried slide phone wasnt happening took case slid right place theres way dock work case phone feel like taking case onoff everyday maybe returned mine next dayim planning buying 3rd party car mount well since im sure samsung car mount wont work case either short sited imo,1,Don't buy if you use a case on your phone,"11 22, 2010",61.0
A95LQYS40GYP1,B008MLUTPK,Amazon Customer,"[0, 0]",like car mounts get excited buying little gadgets little gadgetsi disappointed onenot expensiveit really isnt greatthe seller delivered promptly packaging fine otterbox commuter fits wellthe unit attached well dashboard disk charging cord longand attaches left charger odd choice see cannot access power controls menu buttons wind left side seems natural place charger cord right way lean hand dock easily access buttons right thumb wasnt big dealhoweverto make things even better power cord broke non functional occurred without real trauma distressthank goodness amazon return policy one going backanyone recommend one works better,2,Don't bother...too expensive and poor quality...,"01 30, 2013",91.0
A215ZZFPVG5CX5,B0087FDU1G,lisa childress,"[1, 1]",cute case much white prone get dirty lot faster full color case opinion still like,3,OKAY,"05 11, 2013",15.0
A3CCD009HXZGRY,B00BT7RAPG,"Jamaicancouponmom ""Coupon mom""","[0, 0]",knew needed screen protector purchased one usually problems installing protectors phones one sticky provided help install screen protector actually left sticky substance left hand corner screen protector use alcohol remove,3,Not very good. Just Okay,"08 24, 2013",30.0
ARZX1CBWP7M2W,B00367X5YC,J. S.,"[0, 1]",tried numerous battery cases iphone far best purchased mophie juice pack couple months ago ended taking back thought bad instance replacement charged 20 minutesi check send email go internet use apps day battery pack keeps phone 100 7 8 oclock night case perfect someone whos always aboutyou cant beat especially compare price definitely buy products guys,5,Best Battery Case,"11 17, 2011",56.0
A1C760KGFSRI6F,B002M3TLLC,Alexis Coxon,"[1, 1]",like lot families husband seem million one things need charging means one million one cords house taking outlets mygrid seems like great idea grid lay device charge relates iphone least several flawsfirst starter kit comes case iphone makes work grid however particularly attractive protective case youre case person probably one youd choose addition part case makes work grid plugs docking port means 1 drop phone case theres good chance youll damage pins port 2 cant dock phone sort device case 3 cant sync phone case itof course youre using case youll remove using mygrid case pain id rather cables lying around pointsecond kit includes one grid one case want charge two devices sort whole point mygrid youll pony 30 another sleeve aduracell mygrid power clip starting get expensivehonestly used mygrid couple times novelty wore got tired taking cases putting back quit using quicker easier leave cord plugged someplace handy charge phone combo speakercharger cost little mygrid added bonus letting actually listen musicincidentally curious case seem fit iphone 4 fine perfect fit work since i4 slightly smaller 3g3gs sleeve technically made,2,"A good concept, but it needs work","07 14, 2010",180.0
A2BDYH9JPMPHIV,B00404UR3C,Toni grillo,"[0, 0]",product worked pretty well cut outs perfect easy replace scene made mistake,3,It was cool,"03 31, 2013",12.0
A1GGOBC7PUSWBT,B007QRX54S,House,"[1, 1]",note 3 girlfriend s4 use phones lot ordered us one chargers slow hour charge level maximum 3 increase extremely disappointed glad terribly expensive,1,Not 2 amp,"04 15, 2014",23.0
A10938QNO7IYIB,B00GX00NE4,"Ulises Bocchio ""Ulises Bocchio""","[1, 1]",flip cover would work works regular cover flip cover uses 2 pins item uses item make available pins uses covers pins would great cover pins would also make pins available use cover,2,Works but not the best option,"03 30, 2014",32.0
A1UYAGM44VJRSI,B009HCSKM2,"Diana Sanchez ""Diana S""","[0, 0]",love niceit fit cell perfectlyits hard shell case first hope last,4,its nice i like it,"10 25, 2013",11.0
AJOZKTOHNUA5Y,B009WDKH6I,"Kayla Mc ""CubanaBonita""","[0, 0]",case okay wish headphone port wasnt hard reach sometimes case also slides im working,3,Eh,"05 1, 2014",14.0
A33WME6NECIVP8,B003Q4CKVE,David Borowski,"[0, 0]",item fit tight even close around phone whole thing loose floppy phone fell day use didnt put back frustrating protective,1,Loose junk,"03 5, 2011",20.0
A2X3YMCS80EBTL,B005SUHPO6,Colby,"[0, 0]",great case wife chasing 2 year old around day loves play phone taken beating still continues work well,5,Wifey loves it!,"12 27, 2012",18.0
A30LFXOJOG6CHQ,B00931IQ12,roger,"[0, 1]",cable lasted two weeks save money look vendor save money look vendor buy,1,Cable charger that don't last long.,"10 22, 2013",13.0
A3R19YKNL641X3,B0093IHVJI,"Thomas Duff ""Duffbert""","[0, 0]",latest cell phone case try urban armor gear case iphone 55s ice like looks protection offers replaced another shell case using since day got iphone 5s looks much betterthe uag case light also quite durable according specs mets military droptest standards believe im toss phone purpose inadvertently dropped couple times case protected well cosmetic structural damage plastic casing extends around entire phone enough lip front prevent face damage controls need use like onoff volume either recessed protection covered plastic prevent damage allow easy usefor style like 34survivalmilitary34 look ice case clear hexagon image patterned back nice mix unobtrusive 34this wont mistaken someone elses phone34i definitely different cases different purposes think uag went top slot 34every day34 case listdisclosureobtained manufacturerpayment free,5,"My new ""every day"" case...","06 9, 2014",120.0
A3GZ1OQNKIOX6L,B0089VO7OM,"Sherry R. Melancon ""sherlock_""","[0, 0]",already two oem batteries mother purchased one wishlist stocking stuffermy two batteries high quality perform expected one came phone came samsung battery chargerthis battery different may samsung name branded differs two oem batteries following ways1 takes longer charge2 charged last long3 nfc work use battery spite nfc clearly marked it4 markings battery differ subtle ways places writing started wear two batteries identically marked spite older markings still intact them5 little sticker changes color battery gets wetall things taken together tell battery may counterfeiti see reviews experience battery similar many others,1,"No nfc, not oem quality, possibly a counterfeit","01 12, 2013",90.0
A2ERM0NKMRQD8C,B00993E7PI,Joseph Kaiser,"[0, 0]",hard case works looking softer case iphone 5 without paying fortune described soft case,3,ok but not really as described.,"12 17, 2012",14.0
A248KV0TY6IMKS,B00F3KBE8O,"Amazon Customer ""Laram""","[0, 0]",pros delivery good paired instantly droid ultra say answer ignore call comes incons gave headache thirty minutes behind ear volume soft difficult hear low background noiseincoming sound fuzzy faded incoming voice became garbled frequently phone myjacket pocket returning,2,Not so good.,"12 5, 2013",38.0
A3JUPE0D5U4CS7,B009QSR1MW,Whitley Wade,"[0, 0]",never service phone would connect wifi phone around crappy camera jank good product,1,Horible Product,"09 13, 2013",13.0
A35O1KRKZ5RIA5,B0015RB39O,Jordan,"[0, 0]",loved worked perfectly month one day quit working period power data anything didnt use differently,2,manufactured lemon?,"05 22, 2013",15.0
AGH725ZU4KPWV,B00GWR36F6,Amaresh Panda,"[0, 4]",good phoneits camera work many timesbut touch sensitivity really nicei disappointed nowfeel like wasted money,2,not good,"03 12, 2014",15.0
A3N5LUZ1W6JZZT,B009OUG8LC,puma415,"[0, 0]",exactly looking something simple clear show white s3 buy another wife,5,exactly what i wanted,"02 27, 2013",11.0
A1VUN4JU731CBH,B0089KJX60,I.Peters,"[1, 1]",got light blue color looks pretty like replaces battery cover thus maintaining slim profile fits perfectlynow flap sure falls shut onto screen additional fastening magnetic like kindle covers otherwise matter fact opens easily bit easily taste see opening carrying purse happy 35 stars possible,3,Pretty,"08 13, 2013",44.0
A1JRYBJCGWX1RT,B00CJY8ZSO,Victor Roa,"[0, 0]",perfect fit like comfort style uag doesnt look cheap doesnt add much weight thickness phone excellent,5,BEST CASE,"07 3, 2013",16.0
A1S23OIVOLZ1HS,B005F2YDXI,Mike P,"[1, 1]",looks great outside nicely sync ipad tv im quite knowledgeable things constantly adjust cords get work got set setting would work next time recommend product,2,Not a great cord,"01 12, 2013",25.0
AIS1JVW1E2CL8,B008CPUJAQ,"T. Tolson ""Mother of two""","[0, 0]",im disappointed headset include additional sizes ear bud pads one size fit sound really good though believe 34real34 samsung brand headphones replacing old samsung earphone came galaxy s3,4,Good sound...,"01 29, 2013",28.0
A194EP9SF2LKCI,B001IBMLKM,bwhite757,"[0, 0]",bought put car lot rural roads poor service like stream music phone barely able pick bar service matter mounted antenna still dropped calls typical spots dropped couldnt ever tell difference working wasnt 3 months use usb power port broke useless,2,Disappointing,"01 9, 2013",40.0
A3NEAETOSXDBOM,B00EK3UHS8,Stephen M. Charme,"[1, 1]",received cost exchange writing review like this1 product great way keep iphone 4s nexus 7 2013 tablet charged go heavy duty charger plenty bring 100 get really low keep working day need2 size many smart phones 5 3834 x 2 3434 x 51634 definitely light ultraslim new battery pack keep briefcase go meetings3 doesnt come micro usb cable charge many laying around thats issue suspect people spare cable use4 4 indicator lights show battery status though conserve power dont stay couple seconds press power button time see them5 flashlight activated hitting power button twice row quickly flashlight handy like cant find something deep briefcase nice feature6 also wrap around micro usb cable stores unit perfect charging nexus 7 2013 kindle paperwhite cable bring one charge iphone 4s7 one port rated 15a want charge ipad need something heavy dutybottom line looks sharp great light duty charging use go,5,Perfect for my briefcase,"09 28, 2013",147.0
AYKBPF7FLR6ZW,B005CMP1CI,lingomanaz,"[0, 0]",battery ok case cheap breakable make almost unusable going three cases less year finally started taping case metal tape daughter resorted using rubber band keep onsurprisingly case samsung s3 mini much higher quality case cant thing battery kit,2,Really cheap case.,"06 12, 2013",38.0
AUW5M3XMYDWTZ,B008S3MB7G,Samuel Friedlein,"[2, 5]",case didnt line perfectly completely fit bottom mic holes covered seller didnt respond contactkeep moving garbage,2,pooorly made,"09 17, 2012",16.0
A1KIGYJCO2PJH2,B004WXC4P0,Ciarra Larkin,"[1, 1]",bought last yearish sometime excited arrive needing place phone go thinking place nooothe first day broke cheap plastic strength holding phone side piece broke first day putting phone pressure either flimsy sticky part thats stick car yeah doesnt stick even tried using super glue parts either broke wouldnt stick well none workedi dont recommend anyone buy sorry,1,CRAP,"06 4, 2013",57.0
AWVGTJOB9KHOU,B008V3WDMQ,sarah robinson,"[2, 2]",fast delivery material feels chap stylus light weight works phone far problems,4,Good Product,"07 19, 2013",12.0
AN7BGFEQXCEEV,B00B3L6OG4,j,"[0, 0]",great stand really hold cord base putting charging cord stand makes stand uneven,4,Nice Stand,"04 24, 2013",13.0
A3870H1OXH2Y26,B005CG2AX2,"Igor ""Iggs""","[13, 23]",5 might good deal charger reality 5 buy thishttpwwwamazoncommotorolavehicleadaptermicrousbchargerdpb000s5q9carefsr14swirelessieutf8qid1329358435sr14with 12k reviews 5 price get motorola dont bother junk 25 reviews 45 stars 90 viners theyll say anything free crap,1,Crap on a crap stick.....,"02 15, 2012",29.0
AEBKHZ98E0K7L,B008I6X802,RoxannaHearts,"[0, 0]",first sent screen protectors unprotected sort packaging 3 separate screen protectors wrapped invoice put envelope standard white envelope got wet got invoice wet got screen protectors wet 2 water application films actual screen protectors guess get pay 90 cents free shipping get soggy unusable screen protectors although would pay 90 cents piece plastic,1,how unprofessional,"04 17, 2014",53.0
A2YG0IQ3PHQZNG,B0098T62GA,JN,"[0, 0]",love protection provides s4 stand watch videos without hold mobilego iblason,5,It is what it is,"09 26, 2013",11.0
A9L81ISIKCSV9,B004W3LKZ0,OCguy,"[0, 0]",purchased cable old htc data cable started going fritz advertised picture original htc data cable even looks exactly like old htc cable got box got phonehowever personally received oem htc data cable looks like everyday generic data cableit works though charges im able connect computer without issuesstilli kinda really wanted htc cable generic one price paid though im going complain muchfour stars didnt get advertisedno complaints performance qualityupdate 081312now complaints guess didnt really notice slow charging would usually overnight charge cable painfully slow charging took 15 minutes gain 5 charge im using original travel charger came phone know addition purchased another data cable used charger works beautifully culprit could subpar data cableive also experienced trouble connecting computer issues getting recognized issue ive since purchased better data cablesdo purchase cable unless plan never wanting quick charge connecting computer,2,Definitely NOT an OEM HTC data cable....****UPDATED 08-13-12*****,"07 14, 2012",137.0
A3QBB71XII2MA4,B006W5AW82,Wenona Freeman,"[0, 0]",seen daughter loves good protection outside phone im happy product especially price,5,Good Product,"12 31, 2013",12.0
A1UG4J8DEG9NVW,B0098FKHBU,ResearchingMom,"[1, 1]",ive 7 weeks really liked today noticed finish developed big cracks looks like velvety finish thin coating applied hard plastic starting come offi see happening others tooi blackblackwhat colors crackingupdate 4 months finish cracks appeared gotten worse meanwhile ive tried several cases like one much better bought another one hope fixed problemi love seems cushiony think protects shocks bulky love velvety feel hand slippery yet sticky like could get black,4,loved it before it started cracking,"12 17, 2012",70.0
A3V6QSTG2T9MIO,B003ZDO2H6,John Smith,"[1, 4]",backgroundi switched iphone 3gs att epic 4g sprint prior iphone att tilt samsung blackjack atti reluctant order phone quite happy iphone tired lockeddown approach apple first android phone definitely high expectations itboth epic 4g sprint disappointed extent going back att atrix 4gpros1 crisp high resolution screen comparable iphone 42 great integration samsung tvbluray them3 haptic feedback screen great makes feel interactive4 overall voice quality good except speakerphone see below5 recorded 720p videos impressed result cameras phone greatcons1 cannot stress enough battery battery battery lasts less 4 hours normal use normal dont mean playing youtube videos constantly mean browsing web using facebook setting email check every 15 minutes heavy use eg live video stream battery wouldnt last hour keep charging whenever youll nothing brick pocket battery dead unless spare one fully charged ready2 battery recharges slow mean extremely slow keep plugged night get fully charge plugging computers usb port using samsung supplied wall adapter3 4g signal spotty even live downtown area sprint advertises full 4g coverage 4g signal keeps going sleep showing zzz go sleep wake even try use internet actually disable enable 4g wake go back sleep within minutes even youre using data completely useless sure device issue something sprint 4g services good4 speakerphone phone perform well slightly noisy environments completely dead silence able use speaker phone youll constantly repeating person line speaker phone turned call quality good,2,Great screen. Too short battery. Lots of signal issues.,"04 13, 2011",228.0
A3KBMBBWQ5SGLR,B009ZT8CZ2,Jonathan,"[0, 1]",good case bad thing say little diamond back fell within matter days,3,Good Case,"01 29, 2013",12.0
A24ENMYK2MMHHM,B00CGARY9C,Crystldrgnfly,"[0, 1]",product horrible company horrible shipping horrible stay away people product come even half says inside case cheap rips trying put credit card credit card slot stylus comes even close stylus says comes comes screen protectors prying tools cheap piece crap try exchange return ignore shipment actually got lost got contacted seller help treated like complete crap basically told go hell order company never ever order run people also even pink red,1,Wish I could have given it NO stars!!,"02 26, 2014",71.0
A55OB6VA8QFCF,B00AVLOHJ8,Amazon Customer,"[0, 0]",decent headphone issue loose buttons cup right side buttons cup like shell outer side loose move head move make rattle noise,2,decent headset with an annoying flaw,"12 16, 2013",21.0
A2UPE7OTFZS84O,B004003HAG,Thm Frost,"[1, 3]",simplemobile 50 unlimited say unlimited true unlimitedfor reason said used much data shut data monthwhen called asked simplemobile rep cut said top 1 data usagethen lady telling using phone mobile hotspot watching moviesi told dont use mobile hotspot movies looked past year service never cut far know never hit cap data use text automatic photo uploads dropbox photobucket accountsafter telling kept trying tell using mobile hotspoti even told dont use mobile hotspot needed one would goto walmart get one 4099 data use use home wifithe rep didnt want hear itso careful unlimited unlimited,2,Unlimited is not Unlimited,"11 23, 2012",93.0
A3A2XQ34N6VXZ1,B000VKUHWK,Mike Callery,"[0, 0]",picked use galaxy note 3 simply pleased everyone opinions crazy hold phone well,2,It's ok,"12 4, 2013",13.0
AC3VHAO5ZVJTF,B008BSODU6,Rachel Munoz,"[0, 0]",great quality love buying seller seen picture love material hard flex plastic seen pic,5,love,"01 18, 2013",14.0
AHZXCNIUNEXVS,B009ZBUKHS,"Rilee James ""Rilee""","[0, 0]",barely charges iphone 4 plugged computer try wall chargers nothing happens matter plug use socket wrote company complain said 34maybe didnt follow instructions correctly34 really need detailed instructions plug 30 pin bottom phone wow nice customer service attitude,1,Save your money buy quality,"09 12, 2013",38.0
A2PIJC7KU9D1F0,B0067TQQI8,Cory,"[1, 1]",iphone 5 use battery travel fully charge phone 4 times drains build quality ok noticed light coming case near power button one power indicator leds price nice little battery fit pants pocket necessary would better put coat pocket bag flashlight handy totally dark room need quick light source wish unit would soft touch coating instead slippery plastic thats minor quibble,4,does what it says it does,"12 11, 2012",60.0
ABBH3KBEZ310X,B0093IHY7M,Droidios Dios,"[0, 0]",tough low profile case steal 20 performing much expensive cases ease phone feels secure protected tight form fitting pixelskin hd unlike lazy stepbrother regular pixelskin wish rubberized tpu feel back sides end feeling much plastic slippery dont lend good grip still good pick price pixelskin hd sure provide style durability cost effective packageenjoy,5,Great Price-Great Product,"12 21, 2012",53.0
A1OEGZ0JU56BEN,B0055N57EQ,Whitney,"[0, 0]",used car thing worked couple weeks wiggle cord would connect stopped working completely,2,Didn't work for long,"02 4, 2013",13.0
A1OGCPMSIVK7G4,B00CZE3HY0,ocxmichael,"[0, 0]",works great even better brands spigen price buy 910 screen protector compared spigens 004 one exactly like spigen slim nanos super easy install comes two jelly home buttons since iphone 5s dont use put wifes iphone 5 good better jelly home button came package spigen brand tempered glass screen protectors comes alcohol wipe microfiber cleaning cloth everything came spigen branded ones 3rd cost would definitely recommend buying tempered glass screen protector expensive name brand ones drop phone break well guess put another 3 bucks get another one buy back worth every single penny cant beat price highly recommendedps im using spigen neo hybrid wife using otterbox defender yes work otterbox defender remove screen protector otterbox defender add one jelly buttons youre set snug fit latches otterbox defender snaps nicely little looser fit remove form piece inside otterbox defender phone lays give bit room youre afraid cracking glass far good,5,Best money spent!,"04 4, 2014",149.0
ALYSVCUFX2R7B,B0073C0QSE,Lorraine Marie Tremonte,"[1, 2]",tried using soon arrived found work well iphones camera extremely disappointed,1,Awful,"05 31, 2013",11.0
A2B0IA1FS3UAFM,B00GE9Z67S,Rocky,"[2, 3]",ok product however options available much look around fit finish good thanks,3,OK product,"12 4, 2013",12.0
A2N0CJ5KXA15PW,B00F3KBE8O,John Peterson,"[0, 0]",ordered headset june 5th expecting get couple days like charging case charging cord ordered time june 11th find truly coming slow boat china june 10th decided ship still hasnt left country june 11th expect arrival date 46 weeks ordering beware,2,Be Aware - It Is Shipped On A Slow Boat From China!!!,"06 11, 2014",40.0
A2XXSJHHX0DBLN,B008RBI8L2,"C. Jack Swinden ""W5JCK""","[0, 0]",cheap okay wont provide protection drops provide protection scratches cheap quality though dont expect last long time,3,Okay,"07 12, 2013",17.0
A17JQHBKXT1GSL,B003YKP72O,Stacy McAnarney,"[0, 0]",wasnt thinking love print probably wouldnt buy looking something little protective,2,Didn't care for it,"08 20, 2013",11.0
A1ATWEANLT57YG,B00C5SJEXO,Van Lam,"[3, 6]",two stars good things goes phone take look post one victims lens cracked normal use drops phone called htc immediately denied warranty repair demanded 180 repairthink twice purchasing,2,Camera Lens crack.... possible design flaw,"08 7, 2013",28.0
AOGJRGUW38HB5,B009WXO336,Arbazell E. Grills,"[0, 0]",aware cover power button fell could open package never used would buy,2,Not Good,"05 28, 2013",12.0
AE2I87RNTD4TO,B008OHNZI0,"Randy ""Frequent Amazon Buyer""","[1, 1]",ive used know good dont see reason try another brand even experience unable install screen protector bubblefree tech armor stands behind product lifetime guarantee never thought id use though quick email address website took get replacements sent yes sent three protectors expected oneusing care confidence previous installations able install screen protector bubblefree crystal clear invisible place even see edge ear slot top phone dont point one noticesthis great product phones,5,"Crystal Clear, Great Support","10 24, 2013",70.0
